Wall time,Step,Value
1661087456.228698,0,317.8612976074219
1661087465.134281,1,24.41064453125
1661087473.961295,2,144.1553192138672
1661087482.765455,3,11.632457733154297
1661087491.617991,4,5.41411018371582
1661087500.580812,5,3.4889678955078125
1661087509.366764,6,2.2392733097076416
1661087518.334986,7,1.430616855621338
1661087527.229426,8,0.9624292254447937
1661087536.098437,9,0.704186201095581
1661087544.950409,10,0.5656312704086304
1661087553.817239,11,0.5024631023406982
1661087562.666123,12,0.4651038646697998
1661087571.57368,13,0.44234782457351685
1661087580.36876,14,0.4277864098548889
1661087589.18108,15,0.41832756996154785
1661087597.987646,16,0.4098454713821411
1661087606.885678,17,0.407302588224411
1661087615.749371,18,0.3988915979862213
1661087624.567007,19,0.39495620131492615
1661087633.411756,20,0.39165961742401123
1661087642.297443,21,0.38876834511756897
1661087651.190259,22,0.3846059739589691
1661087660.171819,23,0.38056886196136475
1661087669.083044,24,0.37891826033592224
1661087677.995426,25,0.37691429257392883
1661087686.828019,26,0.3745325803756714
1661087695.668535,27,0.3741242587566376
1661087704.563584,28,0.3690263330936432
1661087713.47062,29,0.36775168776512146
1661087722.288902,30,0.3660465180873871
1661087731.098654,31,0.36213183403015137
1661087740.041452,32,0.36221152544021606
1661087748.985552,33,0.35882511734962463
1661087757.967504,34,0.3578934371471405
1661087766.983421,35,0.3540567457675934
1661087775.901284,36,0.35090482234954834
1661087784.768219,37,0.34937945008277893
1661087793.645502,38,0.34397873282432556
1661087802.496064,39,0.34289008378982544
1661087811.335335,40,0.3387463390827179
1661087820.11311,41,0.33595603704452515
1661087829.007981,42,0.33249232172966003
1661087837.829517,43,0.3279683291912079
1661087846.572415,44,0.3256933093070984
1661087855.447082,45,0.32212603092193604
1661087864.199324,46,0.3180333077907562
1661087873.095339,47,0.311425119638443
1661087881.909235,48,0.30951935052871704
1661087890.663762,49,0.3056030571460724
1661087899.550751,50,0.3003408908843994
1661087908.384207,51,0.29618558287620544
1661087917.134706,52,0.2909153699874878
1661087926.01815,53,0.2868942320346832
1661087934.834846,54,0.2811211347579956
1661087943.768905,55,0.2758764922618866
1661087952.555825,56,0.27110427618026733
1661087961.649863,57,0.2653398811817169
1661087970.47468,58,0.26080065965652466
1661087979.362829,59,0.2561829686164856
1661087988.145549,60,0.24841490387916565
1661087997.025437,61,0.24469348788261414
1661088005.915471,62,0.23678752779960632
1661088014.726741,63,0.23088599741458893
1661088023.452738,64,0.2301800698041916
1661088032.184688,65,0.21854309737682343
1661088040.871939,66,0.2133118063211441
1661088049.632332,67,0.20597058534622192
1661088058.401748,68,0.20242765545845032
1661088067.189181,69,0.20895710587501526
1661088075.929616,70,0.1910880208015442
1661088084.710598,71,0.18101046979427338
1661088093.5667,72,0.17646625638008118
1661088102.668153,73,0.3081221878528595
1661088111.676321,74,0.3009507656097412
1661088120.55023,75,0.28545793890953064
1661088129.651005,76,0.2699183225631714
1661088138.650537,77,0.25385263562202454
1661088147.720915,78,0.2388860136270523
1661088156.686649,79,0.22554314136505127
1661088165.500509,80,0.21038152277469635
1661088174.334727,81,0.19816352427005768
